Tagname,Class,System,Loop_Sequence,Function_Code,Drawing_No,RapidOCR_Text,TesseractOCR_Text,Raw_Text
PZI-0114-44,INSTRUMENT,44,0114,PZI,img_0_grid_5_det_7.png,PZI 0114 13,"Pe

io

114 fs

Lane D> OOF

is f","PZI 0114 13 Pe

io

114 fs

Lane D> OOF

is f"
PZT-0112-15,INSTRUMENT,15,0112,PZT,img_0_grid_8_det_2.png,PZT 9113,"FP

Bz

qT

Ch

0112 |

io

(

15 4","PZT 9113 FP

Bz

qT

Ch

0112 |

io

(

15 4"
PZT-0113-15,INSTRUMENT,15,0113,PZT,img_0_grid_8_det_2.png,PZT 0113 15,"P

qT

Eh

017123 |

C

15 4","PZT 0113 15 P

qT

Eh

017123 |

C

15 4"
PZT-0113-19,INSTRUMENT,19,0113,PZT,img_0_grid_8_det_2.png,PZT 0113 15,"sai

UT

19","PZT 0113 15 sai

UT

19"
PZT-0114-14,INSTRUMENT,14,0114,PZT,img_0_grid_5_det_1.png,PZT 0114 13,"f PP

o7 14

1a","PZT 0114 13 f PP

o7 14

1a"
PZT-0114-44,INSTRUMENT,44,0114,PZT,img_0_grid_5_det_1.png,PZT 0114 13,"md

P|

unis

1a","PZT 0114 13 md

P|

unis

1a"
PZT-0114-44,INSTRUMENT,44,0114,PZT,img_0_grid_5_det_1.png,PZT 0114 19,"PL]

O14

1d","PZT 0114 19 PL]

O14

1d"
TI-0114-15,INSTRUMENT,15,0114,TI,img_0_grid_12_det_1.png,TI 0114 15,"TI

114 |

P| 15 |","TI 0114 15 TI

114 |

P| 15 |"
TI-1112-16,INSTRUMENT,16,1112,TI,img_0_grid_10_det_1.png,TI 1112 16,,TI 1112 16 
TI-1112-44,INSTRUMENT,44,1112,TI,img_0_grid_10_det_2.png,TI 1112 16,nT,TI 1112 16 nT
TI-1112-44,INSTRUMENT,44,1112,TI,img_0_grid_10_det_1.png,TI 1112 16,"ql

1

IG

2)","TI 1112 16 ql

1

IG

2)"
TI-1114-15,INSTRUMENT,15,1114,TI,img_0_grid_9_det_0.png,TI 1114 15,,TI 1114 15 
TI-1114-15,INSTRUMENT,15,1114,TI,img_0_grid_9_det_2.png,TI 1114 15,"* TI

Vida

15","TI 1114 15 * TI

Vida

15"
TI-1444-15,INSTRUMENT,15,1444,TI,img_0_grid_9_det_0.png,TI 1444 15,"* TI

1i14

14","TI 1444 15 * TI

1i14

14"
TT-0114-14,INSTRUMENT,14,0114,TT,img_0_grid_8_det_7.png,TT 0114 15,"LJ OU 2,

U1 14

Vale","TT 0114 15 LJ OU 2,

U1 14

Vale"
TT-0114-18,INSTRUMENT,18,0114,TT,img_0_grid_8_det_6.png,TT 0114 15,"Tl

114

18","TT 0114 15 Tl

114

18"
TT-0114-18,INSTRUMENT,18,0114,TT,img_0_grid_8_det_3.png,TT 0114 15,"pee

O14

Td

18","TT 0114 15 pee

O14

Td

18"
TT-0116-13,INSTRUMENT,13,0116,TT,img_0_grid_10_det_7.png,TT 0116 13,"TT *

O16

13 4","TT 0116 13 TT *

O16

13 4"
TT-0116-44,INSTRUMENT,44,0116,TT,img_0_grid_10_det_9.png,TT 0116 13,"TT

O16","TT 0116 13 TT

O16"
TT-0116-44,INSTRUMENT,44,0116,TT,img_0_grid_10_det_5.png,TT 0116 13,"TT

OL 1E

ef","TT 0116 13 TT

OL 1E

ef"
UT-0117-19,INSTRUMENT,19,0117,UT,img_0_grid_9_det_1.png,T 0117 15,"ce |

UT

19","T 0117 15 ce |

UT

19"
XN-0112-16,INSTRUMENT,16,0112,XN,img_0_grid_10_det_10.png,PIT 0112 16,"PIT

XN

0112

16","PIT 0112 16 PIT

XN

0112

16"
XZH-0112-13,INSTRUMENT,13,0112,XZH,img_0_grid_5_det_5.png,XZH 0112 13,"|_| Hex

""13 |","XZH 0112 13 |_| Hex

""13 |"
,INSTRUMENT,,,,img_0_grid_0_det_0.png,13,"POV

Ja

ort","13 POV

Ja

ort"
,INSTRUMENT,,,,img_0_grid_0_det_0.png,13,"POV

J ech

ort","13 POV

J ech

ort"
,INSTRUMENT,,,,img_0_grid_0_det_0.png,P04 14,"POV

‘Jed

or","P04 14 POV

‘Jed

or"
,INSTRUMENT,,,,img_0_grid_2_det_0.png,PI 011 13,"|

| fot

Cia","PI 011 13 |

| fot

Cia"
,INSTRUMENT,,,,img_0_grid_2_det_0.png,011 13,"F|

| Fort

Cl 43","011 13 F|

| Fort

Cl 43"
,INSTRUMENT,,,,img_0_grid_2_det_0.png,P1 011 13,"|

| fot

Cia","P1 011 13 |

| fot

Cia"
,INSTRUMENT,,,,img_0_grid_3_det_0.png,,,
,INSTRUMENT,,,,img_0_grid_5_det_0.png,P1 111 1,"P|

111

13","P1 111 1 P|

111

13"
,INSTRUMENT,,,,img_0_grid_5_det_2.png,2 0112,"|

O1e

1

(Oj","2 0112 |

O1e

1

(Oj"
,INSTRUMENT,,,,img_0_grid_5_det_4.png,1119,"|

1V419

13","1119 |

1V419

13"
,INSTRUMENT,,,,img_0_grid_5_det_6.png,HZX 0116,"THE

UIT

13","HZX 0116 THE

UIT

13"
,INSTRUMENT,,,,img_0_grid_5_det_8.png,,"pe

a:

/"," pe

a:

/"
,INSTRUMENT,,,,img_0_grid_5_det_0.png,P1 1 1  1 13,me,P1 1 1  1 13 me
,INSTRUMENT,,,,img_0_grid_5_det_2.png,2 0112 13,"O11

13

Cy","2 0112 13 O11

13

Cy"
,INSTRUMENT,,,,img_0_grid_5_det_3.png,1119 13,"P|

1V19

13","1119 13 P|

1V19

13"
,INSTRUMENT,,,,img_0_grid_5_det_0.png,PI 111 13,"P|

144

13","PI 111 13 P|

144

13"
,INSTRUMENT,,,,img_0_grid_5_det_2.png,2 0112,"O11

1d

L_)) |","2 0112 O11

1d

L_)) |"
,INSTRUMENT,,,,img_0_grid_5_det_3.png,1119 13,"|

1V419

13","1119 13 |

1V419

13"
,INSTRUMENT,,,,img_0_grid_5_det_4.png,Ey 0116 13,"7

e

i","Ey 0116 13 7

e

i"
,INSTRUMENT,,,,img_0_grid_6_det_2.png,m,Nn,m Nn
,INSTRUMENT,,,,img_0_grid_6_det_4.png,830,"1 ' |

d

Frog Po Me

fezeecely","830 1 ' |

d

Frog Po Me

fezeecely"
,INSTRUMENT,,,,img_0_grid_6_det_2.png,mr,},mr }
,INSTRUMENT,,,,img_0_grid_6_det_3.png,330 TL,Fadh ro fh,330 TL Fadh ro fh
,INSTRUMENT,,,,img_0_grid_6_det_2.png,mr,Ty,mr Ty
,INSTRUMENT,,,,img_0_grid_7_det_2.png,H 118,"Hy *

O18

134","H 118 Hy *

O18

134"
,INSTRUMENT,,,,img_0_grid_7_det_3.png,AH 店,"f HY *

O11?

—","AH 店 f HY *

O11?

—"
,INSTRUMENT,,,,img_0_grid_7_det_0.png,EV 01[4 13,% 13 2,EV 01[4 13 % 13 2
,INSTRUMENT,,,,img_0_grid_7_det_2.png,Ht,"i

Hy

Vit

“oe

134","Ht i

Hy

Vit

“oe

134"
,INSTRUMENT,,,,img_0_grid_7_det_3.png,Hy 7 T,"A uy *

OT?

~ 1s","Hy 7 T A uy *

OT?

~ 1s"
,INSTRUMENT,,,,img_0_grid_7_det_4.png,HZ减 0114 13,"mie

4 4

1d

a","HZ减 0114 13 mie

4 4

1d

a"
,INSTRUMENT,,,,img_0_grid_7_det_1.png,H 118,"Hy *

oiie

137","H 118 Hy *

oiie

137"
,INSTRUMENT,,,,img_0_grid_7_det_3.png,HY 417,"ny

—

. ON?

~ 1S","HY 417 ny

—

. ON?

~ 1S"
,INSTRUMENT,,,,img_0_grid_8_det_0.png,H 0112 15,"Ty

dl oit2","H 0112 15 Ty

dl oit2"
